reviewerID,index
A0001258YUYGHOWU7Y0C,28
A00034485ZR6O60DSTB,70
A0006402R8NC9KCZRW22,122
A0009478CBXKUCALUC7U,169
A0009496SF43459QLZD,172
A0010410DU0I14YA9748,184
A001043663FV54GPN5WI,185
A00116683339FAW9XGHO,204
A0013712NB9QP8IWU5WK,235
A0013986X4C6ITVQK1WM,240
A0017508TSSOL39QP2BM,287
A0019218YGB0SF457WO8,309
A0019380UVL8SJ13BYYX,314
A0020980ILK0IB3N9WF7,342
A00226087RICCW0HTP1I,370
A0022848GEKQELJ41EVJ,375
A0022900HFR99YVFM5FM,377
A0024656FQIZB579R6YR,415
A0024922Q0IU2BV4N09G,421
A0025310TE7OQMP3HQK7,432
A0026346R7SIJ1NCZX20,446
A0028130U7NCDNLJWCF2,472
A0029610N42RM3M1MWV,496
A0029976YZNYXK86CBAN,504
A00302287A5VF8R6JTUD,511
A0031208F1JQVSZDD2NO,530
A0032752LTC7FRSBF7K,555
A00356786CQNSUGGK2FA,596
A0035980H0GNR8VRG6PS,598
A0036244LFNO78OM4135,602
A0036344BJ1MW82V9CJ9,606
A003654414X1JCRXQLXL,609
A0037980FFID6AF5IL2Q,632
A0039616V1YY3K317AU,676
A0040352FB51XJ8TA9V0,686
A00405485NUJUQ4LKZCE,689
A0040800C8Y3RKO2X1T3,699
A00412129A0DNXTNGN15,706
A00420046H2LOS260AV1,721
A0042738B1P8YSR3GO8Y,729
A0042874YBJ6K1UDQ1N3,732
A004595655O0U616LINP,792
A0046560NCBZV9YQG29G,800
A0047780JMHSO0WGEP72,822
A0049472BUODA43DBQQG,846
A0049690E6GCBNGX6Z9T,851
A0049794AHFDZTYE50T0,853
A00500863HEG4RHHYUKD,855
A00512481K93SGQ30UPI,871
A00519168PK6GCY90CEY,878
A00519283CK8BUC55T2B,880
A0052658JBKOWT8EBYLI,894
A0053190QP3EG0YF2IL7,908
A0055466NJVRZ3TLVDF1,942
A0056746VLX0I5VJCFN6,958
A0057622ASUNQ2HD98EJ,971
A00596084LISQXADC3IF,1008
A00603384WJS45MGZ9ZV,1019
A006067450PZF25OKLBI,1026
A0061372AUKWWFTO8IEK,1034
A00614327P1VJR54SDZ5,1037
A0063328U51F5BI3E3E1,1053
A0063852MARNMEPW1Z99,1057
A0065695OO7UOK8J7J8P,1086
A0065839ZG91EIIIO00C,1089
A0067771J41YFEHO5YMO,1133
A0070299ZOX1858VU88E,1169
A00718019A74SQ90KPJ1,1200
A0072319W2B8TUXQHHD1,1211
A00731517QOKN0M01AK9,1225
A0073621Y6SPSSPI2U14,1231
A0074179VU1QSOWRBCQC,1239
A00759556XG844CPTVO6,1267
A0077067LW63UI9G54IY,1288
A0078679X6QYU020W06M,1308
A0078815DGWAB81XMTY8,1309
A00807434JVE9NOOJVQA,1350
A0081349RA0DZGM2PVMB,1360
A0082257K2QEGF87EAZ1,1374
A0083655F43KKBUABNNT,1392
A0084151UKS19BB39EKD,1401
A00866311N8LAMWBQXEH,1438
A0087385ZAEH3S92KZ8J,1456
A00917795NODJVL2J892,1527
A0092419BQVDTK8NFQEE,1538
A0092885MPIO94NE26U5,1544
A0094761B6H5RLT6BZQZ,1571
A00963051IPK147RT6DZ,1599
A0096871HSX04B46ZOZR,1608
A0099065FJWOU7FUFTXO,1646
A009921775CXCZQH7DCB,1650
A0099981ZPF2079LVTK0,1667
A0100053UG8DIJB0VKTB,1670
A0100381EUBSTPD32YY0,1680
A0100519AWGWO0QBMJZ6,1685
A0101995B2HTHPDJAB7G,1714
A0102295XHJV2E7QU1PQ,1720
A0103059CEUIUPUIB8RP,1739
A01033511NEJ2C1XT71J,1742
A01053556KIPOT7NSCF9,1773
A0105937ZMNQ65LPKS8Y,1778
A0107469U1LQIJHPWCXB,1798
A01081091HDRRA45WZJD,1808
A01081214PL2A7IYAXAU,1809
A0108361NUAPHEN2W129,1815
A0111719IR7V2EDRP0Z5,1867
A011249511Y42R4BSG38,1875
A0116019FM9304D5C057,1938
A0116121TH6TT6AOTUGO,1941
A0119736LEFONCYA2OQY,1994
A0120351MZJHJHEW6XEO,2003
A0121343RSRE45KNMGVI,2016
A01213533DWMC0YSZ8JT,2017
A0124535HDYFONXD62EN,2077
A0125599QFSU6ST6G4LB,2089
A0127225KOJEF9UMEHPQ,2121
A0127703SEG0Z39MBNUL,2133
A0130191CA7C8SFU65VR,2173
A0131053XWK47EVB3B3R,2185
A0132444MSBB1AIUVX8F,2209
A01348304KRATHPG6TPJ,2247
A0135632D24ZCIKB0XTY,2259
A0136744MZNV6JTSJW26,2281
A0138854DQPEPWKN2MDK,2311
A01398062ORG72PL47GK,2329
A0143470XVS0T9GABK00,2396
